Name,Topics,Framework,Form,Notes,Due At,Difficulty,Link,Created time,Mistakes,Source
Stone Game II — LeetCode 1140,DP,"DP on (index, M) + optimal opponent subtraction","Game Dp, MniMax DP, Suffix Sum","dp[i][M] = maximum stones the current player can obtain from i onward. suffix[i] is the total stones remaining. After choosing X, the opponent gets dp[i+X][max(M,X)], so current player's final amount is suffix[i] - opponent's optimal amount. Iterate i backwards because states depend on i+X. Base case: dp[n][M] = 0.","August 16, 2026",Medium,https://leetcode.com/problems/stone-game-ii/?envType=daily-question&envId=2026-08-09,"August 9, 2026 3:54 PM",Initially forgot to populate suffix with piles; also important to iterate i backwards and include X = 2M.,LeetCode Problem Of The Day
Generating Permutations AZ101,"Arrays, Two Pointers","  1. First decreasing element from right.
  2. swap with just bigger element
  3. reverse the suffix to get the smallest value",Two Pointers,"Traverse from right and find first index i such that:arr[i] < arr[i+1]
→ this is the pivot.
If no such index exists:
→ array is in descending order.
Reverse entire array (smallest permutation).
Traverse from right again and find first element greater than arr[i].
Swap that element with arr[i].
Reverse the subarray from i+1 to end.","June 23, 2026",Medium,https://maang.in/problems/Generating-Permutations-AZ101-366?resourceUrl=pl3436-rs366&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"April 12, 2026 7:34 PM",,
Edge Reverse,Graphs,"  • When adding an edge to the graph , add a reverse edge with weight as 1
  • do 0-1 BFS from the starting node
","0-1 BFS, BFS",,"August 20, 2026",Medium,https://maang.in/problems/Edge-Reverse-900?resourceUrl=pl3553-rs900&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"August 6, 2026 11:18 PM",,AlgoZenith
Complete the Game,Graphs,"Traverse the nodes edges in topological sort order 
use dp array to store the number of paths uptill this node","DP, Topological Ordering","A good way to think about DP on DAGs is:Topological order is the order in which DP dependencies are satisfied.
Whenever the recurrence is of the formdp[v] depends only on predecessors,dp[v] \text{ depends only on predecessors},dp[v] depends only on predecessors,
a topological traversal is usually the correct processing order. This pattern appears frequently in competitive programming.","August 19, 2026",Medium,https://maang.in/problems/Complete-the-Game-432?resourceUrl=pl3550-rs432&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"August 5, 2026 11:45 PM",,AlgoZenith
Smallest Permutation,Graphs,use a priority queue in Kahns algorithm to sort the node added in topo,"BFS, Topological Ordering",,"August 12, 2026",Medium,https://maang.in/problems/Smallest-Permutation-898?resourceUrl=pl3550-rs898&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"August 5, 2026 12:23 AM",,AlgoZenith
Stone Game III,"DP, Recursion","the recurrence relation would be derived from the index, there can be 3 moves at a time",Game Dp,"Whenever you see a new problem, mentally go through these four questions:
1. Can I solve it recursively? Express the answer using smaller problems.
2. Do recursive calls repeat? If yes → DP.
3. What uniquely defines a state? Those variables become your DP dimensions.
4. Can I derive a recurrence? Use previously computed states.","August 3, 2026",Hard,https://leetcode.com/problems/stone-game-iii/?envType=daily-question&envId=2026-08-03,"August 3, 2026 11:21 PM",,LeetCode Problem Of The Day
Area & Perimeter Of Connected Component,Graphs,"Start DFS/BFS from every cell, calculate size of connected components and perimeter contribution of cell","BFS, DFS, Flood Fill",,"August 16, 2026",Hard,https://maang.in/problems/Area-and-Perimeter-of-Connected-Components-422?resourceUrl=pl3549-rs422&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"August 2, 2026 2:09 PM","• Started BFS from every unvisited cell instead of only unvisited # cells.
• Didn't mark the starting cell as visited before pushing it into the queue.
• Didn't count the starting cell in currArea.
• Didn't add the starting cell's perimeter contribution to currPerimeter.",AlgoZenith
Infected People,Graphs,Insert all the infected people into the queue,"BFS, Multi Source Shortest Path",,"August 12, 2026",Medium,https://maang.in/problems/Infected-People-589?resourceUrl=pl3549-rs589&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"August 2, 2026 1:20 PM",intialise ans with 0; for edge case in which all people are already infected,AlgoZenith
Predict The Winner,DP,"Define the state on a subarray: dp[l][r] represents the answer for interval [l, r].
Identify the choices at the current interval (e.g., pick left or pick right).
Express the current state using answers from smaller intervals (derive the recurrence).
Define the base case (usually l == r).
Fill the DP table in an order that ensures all dependent intervals are already computed (typically l from n-1 → 0 and r from l → n-1).",Interval DP,,"August 8, 2026",Medium,https://leetcode.com/problems/predict-the-winner/submissions/2090352416/?envType=daily-question&envId=2026-08-01,"August 1, 2026 10:38 PM",,LeetCode Problem Of The Day
Rotting Organges,Graphs,"Put all rotting oranges into queue, find out the max time to reach a normal orange","BFS, Multi Source Shortest Path",,"August 11, 2026",Medium,https://leetcode.com/problems/rotting-oranges/description/,"July 30, 2026 12:04 AM",,LeetCode
